SOPHIE.2019-12-09T03:49:00.357_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-12-09T03:38:58.595    	
SOPHIE.2018-05-16T21:55:02.434_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-05-16T21:44:41.391    	
SOPHIE.2019-12-03T03:11:16.939_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2019-12-03T03:01:02.630    	
SOPHIE.2019-02-21T02:10:48.661_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-21T02:02:05.417    	
SOPHIE.2019-01-07T04:16:51.773_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-07T04:06:22.714    	
SOPHIE.2019-03-02T00:16:17.133_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2019-03-02T00:06:08.862    	
SOPHIE.2020-02-03T00:53:15.700_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-03T00:41:31.939    	
SOPHIE.2019-05-30T20:24:45.189_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-30T20:14:50.356    	
SOPHIE.2020-02-09T00:15:11.425_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-08T23:54:50.949    	
SOPHIE.2021-03-05T22:21:13.082_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-03-05T22:11:00.772    	
SOPHIE.2020-03-02T23:10:48.999_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-03-02T23:00:34.724    	
SOPHIE.2019-04-30T20:43:13.997_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-30T20:32:57.162    	
SOPHIE.2020-01-06T01:56:23.221_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-01-06T01:46:18.686    	
SOPHIE.2019-03-21T00:25:21.288_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-21T00:15:14.415    	
SOPHIE.2020-11-28T03:38:07.298_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-11-28T03:27:55.857    	
SOPHIE.2019-01-16T02:17:14.819_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-16T02:06:53.628    	
SOPHIE.2019-12-12T04:48:44.430_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-12-12T04:38:41.946    	
SOPHIE.2019-03-18T22:28:23.459_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-18T22:13:16.605    	
SOPHIE.2019-05-23T21:07:45.569_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-23T20:57:41.487    	
SOPHIE.2019-05-29T20:32:52.446_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-29T20:22:57.647    	
SOPHIE.2020-02-12T01:31:06.700_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-12T01:20:47.379    	
SOPHIE.2019-03-16T22:32:09.318_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-16T22:22:04.275    	
SOPHIE.2019-06-01T20:48:57.477_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-06-01T20:39:10.551    	
